order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,cumulative_days,order_date
2894916,20809,prior,17,1,20,3.0,136.0,2014-12-04
3171557,134200,prior,2,3,11,30.0,30.0,2015-02-03
3319415,198009,prior,16,3,8,8.0,103.0,2014-10-30
2274702,119664,prior,13,0,14,13.0,97.0,2015-02-08
518700,137909,prior,33,1,9,6.0,203.0,2015-01-21
1482787,54310,prior,3,1,13,30.0,33.0,2015-03-06
1527801,18651,prior,3,2,15,13.0,17.0,2015-05-06
1164053,43810,prior,30,1,13,7.0,197.0,2015-03-25
1526289,163764,prior,15,5,10,2.0,134.0,2015-02-24
1356263,56571,prior,12,3,13,8.0,91.0,2015-03-17
2256752,153793,prior,4,0,10,14.0,48.0,2014-12-06
222302,125909,prior,10,2,12,28.0,153.0,2015-06-18
2788977,143642,prior,2,3,16,0.0,0.0,2014-07-14
2092058,172425,prior,29,1,18,10.0,280.0,2015-05-02
3356599,48936,prior,18,2,13,10.0,86.0,2014-10-17
2742639,160420,prior,17,0,18,6.0,141.0,2015-05-04
771747,27773,prior,1,6,15,,0.0,2015-02-09
398840,110864,prior,5,3,17,24.0,53.0,2015-04-20
2610507,43870,prior,3,1,10,9.0,22.0,2015-04-16
1972973,129867,prior,30,2,11,6.0,111.0,2014-11-28
373658,5767,train,4,0,14,15.0,67.0,2015-07-01
709560,29267,prior,26,4,5,2.0,205.0,2015-01-22
2154434,170560,prior,8,6,14,6.0,118.0,2015-06-01
3364977,53541,prior,4,1,10,5.0,13.0,2014-07-23
604890,30237,prior,4,3,8,15.0,37.0,2015-04-04
1262838,65900,prior,5,6,6,8.0,28.0,2014-09-05
2397162,120776,prior,23,0,12,5.0,250.0,2015-03-23
2106974,85085,prior,4,4,15,17.0,77.0,2015-01-17
1679933,23383,prior,23,6,8,1.0,200.0,2015-05-15
2963105,97880,prior,6,0,12,25.0,123.0,2015-05-05
1533080,131915,prior,17,1,18,2.0,126.0,2014-11-12
1837287,96817,prior,24,0,21,2.0,57.0,2015-05-15
699269,77330,train,6,2,12,7.0,127.0,2015-07-01
807977,18645,prior,1,3,9,,0.0,2015-04-06
2976247,14800,prior,8,1,17,7.0,92.0,2014-10-17
1201588,8742,prior,38,4,10,30.0,253.0,2015-05-27
1917281,70872,prior,29,3,13,6.0,188.0,2015-01-13
1488067,147474,prior,27,4,16,6.0,175.0,2015-04-07
3187761,12906,prior,37,0,13,4.0,259.0,2015-03-17
233971,19824,prior,12,2,9,8.0,71.0,2014-09-14
1916455,165016,prior,7,1,15,27.0,78.0,2015-02-02
706641,91344,prior,10,0,12,11.0,96.0,2014-11-18
510990,44250,prior,20,1,14,0.0,104.0,2014-10-13
3071797,72501,prior,5,2,10,2.0,48.0,2015-02-25
21101,180800,prior,28,2,15,6.0,272.0,2015-05-07
1126880,172474,prior,5,0,15,25.0,80.0,2015-05-24
1429714,152798,prior,15,0,8,6.0,164.0,2014-12-29
2007056,40321,train,5,4,18,30.0,73.0,2015-07-01
3282106,92342,prior,4,4,17,5.0,16.0,2014-10-02
2928697,41266,prior,12,2,13,5.0,104.0,2015-06-06
1535542,6293,prior,5,2,16,5.0,30.0,2015-06-11
2524340,95543,prior,44,1,9,5.0,358.0,2015-06-25
1050845,186525,prior,7,4,16,30.0,134.0,2015-03-08
2528689,82352,prior,11,0,9,7.0,114.0,2014-11-20
2318047,132456,prior,17,3,21,17.0,279.0,2015-04-11
727225,8745,prior,7,0,18,21.0,77.0,2015-06-01
1718418,97729,prior,40,1,13,3.0,155.0,2015-01-21
1887485,8776,prior,1,0,14,,0.0,2014-12-25
2873745,107673,train,22,6,15,25.0,338.0,2015-07-01
1486179,89767,test,16,6,13,28.0,272.0,2015-07-01
1320817,119079,prior,6,6,13,12.0,49.0,2014-09-17
2087725,159408,prior,34,4,15,6.0,196.0,2015-01-25
2630126,19392,prior,16,0,11,4.0,216.0,2015-04-05
1207904,144766,prior,1,1,22,,0.0,2015-04-14
2544855,201831,prior,2,2,12,17.0,17.0,2015-01-08
403179,144825,prior,7,1,21,13.0,59.0,2014-12-21
142426,105118,prior,4,1,14,8.0,25.0,2015-03-23
1393702,123160,prior,14,0,17,7.0,98.0,2014-10-15
681045,106179,prior,24,1,16,8.0,144.0,2014-11-25
1789832,31472,prior,3,1,16,5.0,11.0,2015-05-25
3332452,173933,prior,5,4,13,13.0,26.0,2015-06-04
2225490,102747,prior,13,4,7,6.0,160.0,2015-04-01
147827,27977,train,55,0,21,12.0,360.0,2015-07-01
1718253,200553,prior,1,4,12,,0.0,2015-05-01
1941179,131091,train,6,6,14,15.0,93.0,2015-07-01
446529,181012,prior,4,3,11,30.0,38.0,2015-06-26
1903052,128831,prior,16,4,15,5.0,111.0,2015-06-04
2381838,47877,prior,10,0,14,16.0,95.0,2014-12-05
601540,182633,prior,1,2,14,,0.0,2015-05-13
962514,188463,prior,1,0,14,,0.0,2015-04-02
3087902,130630,prior,7,5,11,8.0,30.0,2014-09-12
820279,188140,prior,6,2,15,11.0,61.0,2014-09-18
3064552,25347,prior,49,0,9,2.0,202.0,2015-01-22
2008861,146381,prior,20,6,11,5.0,78.0,2014-09-19
3292970,181426,prior,3,0,8,6.0,34.0,2014-09-14
2150579,183257,prior,10,1,21,1.0,87.0,2014-11-16
2155094,59355,prior,19,4,18,30.0,210.0,2015-06-01
536731,137019,prior,2,1,17,30.0,30.0,2015-01-08
1394039,19976,prior,9,4,18,3.0,164.0,2015-04-19
1489667,165096,prior,10,2,5,16.0,155.0,2014-12-30
3276222,30200,prior,7,5,22,4.0,25.0,2015-05-30
1747872,47103,prior,67,4,19,2.0,350.0,2015-06-23
1860876,177767,prior,3,0,12,7.0,35.0,2015-04-16
2303021,44984,prior,9,1,11,12.0,125.0,2014-12-27
384505,159267,prior,2,5,9,6.0,6.0,2014-07-22
3045755,66252,prior,10,4,10,3.0,52.0,2014-08-28
1124051,109031,prior,12,1,16,17.0,195.0,2015-03-11
322025,91345,prior,22,0,15,6.0,216.0,2015-03-02
1047784,111327,prior,46,0,10,2.0,301.0,2015-05-13
1993829,23798,prior,4,0,16,6.0,16.0,2015-02-08
2541457,174301,prior,15,4,16,2.0,87.0,2014-09-27
2927938,2921,prior,4,2,13,9.0,21.0,2014-12-10
226156,12611,prior,2,5,7,30.0,30.0,2015-03-19
593900,38764,prior,31,3,23,12.0,171.0,2015-03-30
1077443,71062,prior,27,6,15,5.0,171.0,2015-01-07
1735588,13112,prior,9,2,19,12.0,101.0,2014-11-07
2280357,98423,prior,6,1,14,30.0,142.0,2015-05-06
1952879,31999,prior,14,5,11,11.0,217.0,2015-03-22
1453608,63050,prior,9,1,18,5.0,48.0,2015-03-13
1529816,198217,prior,93,1,16,0.0,230.0,2015-06-12
2173992,169250,prior,2,5,12,11.0,11.0,2015-04-30
291265,112631,prior,6,2,10,7.0,105.0,2015-06-11
2133610,191777,prior,1,6,13,,0.0,2015-02-20
266304,195439,prior,1,5,14,,0.0,2014-10-18
1713333,98411,prior,99,1,15,3.0,227.0,2015-06-28
1553563,22037,prior,31,6,21,6.0,259.0,2015-03-17
3128148,101335,prior,6,1,23,21.0,80.0,2014-10-08
2068407,169820,prior,19,4,21,3.0,81.0,2014-12-03
3263241,110938,prior,9,1,23,6.0,78.0,2014-09-24
127309,75762,prior,11,6,21,3.0,33.0,2014-08-16
3239951,181887,prior,13,5,10,8.0,64.0,2015-02-18
1332485,96095,prior,6,6,9,7.0,67.0,2015-05-03
1696964,103334,prior,3,1,11,30.0,34.0,2015-03-30
2215422,27809,prior,22,1,8,9.0,255.0,2015-05-15
626848,139304,prior,33,5,8,5.0,313.0,2015-06-11
2773175,183169,prior,41,1,10,12.0,209.0,2015-01-28
322,36278,prior,2,1,9,7.0,7.0,2015-05-27
2096734,7848,prior,10,1,12,6.0,62.0,2015-05-02
823844,134286,prior,10,1,11,10.0,82.0,2015-01-01
2621257,178903,prior,6,6,17,30.0,129.0,2015-06-25
1534249,14470,prior,10,1,18,14.0,132.0,2014-12-20
3191470,126989,prior,27,0,13,11.0,324.0,2015-06-11
2323518,65002,train,5,1,13,30.0,111.0,2015-07-01
2161272,96607,prior,7,6,15,13.0,46.0,2014-09-03
2709791,171551,prior,33,2,12,1.0,243.0,2015-03-14
3206910,130136,prior,85,4,11,2.0,226.0,2015-05-08
1412463,37625,prior,9,2,13,11.0,41.0,2014-12-09
3000825,101163,prior,8,1,15,7.0,105.0,2014-11-12
2862144,205906,prior,14,3,13,26.0,202.0,2015-02-07
1665406,96375,prior,2,2,10,30.0,30.0,2015-02-10
1844833,150514,prior,9,6,14,5.0,84.0,2015-03-28
3138883,58370,prior,8,4,12,4.0,128.0,2015-04-07
350582,109020,prior,49,4,15,2.0,99.0,2015-01-28
2419056,179548,prior,35,1,10,3.0,98.0,2014-10-12
2789149,59522,prior,8,0,9,20.0,158.0,2015-01-18
2071079,119307,prior,35,6,20,7.0,140.0,2015-02-04
6761,15380,prior,1,5,8,,0.0,2014-09-07
332059,45837,prior,6,0,14,14.0,43.0,2014-12-19
1655279,77887,prior,6,2,13,8.0,47.0,2014-09-26
2660022,82232,prior,86,5,15,3.0,245.0,2015-05-24
2938842,85859,prior,19,1,10,13.0,255.0,2015-04-01
3137744,133931,prior,5,1,17,5.0,27.0,2015-05-20
552595,199688,prior,75,4,22,7.0,346.0,2015-06-14
1500697,197683,prior,7,4,16,10.0,38.0,2014-08-10
2220246,138763,prior,4,0,12,30.0,77.0,2015-06-20
2571651,24074,prior,23,2,21,9.0,299.0,2015-06-29
2624533,146123,prior,1,3,10,,0.0,2015-03-03
2562073,74056,prior,10,1,12,8.0,62.0,2015-02-08
1869693,189664,prior,48,5,15,5.0,316.0,2015-05-14
746965,51782,prior,49,6,14,10.0,241.0,2015-05-13
3325115,159270,prior,2,6,13,23.0,23.0,2015-01-04
1291302,53310,prior,5,2,13,19.0,57.0,2015-06-09
1354983,141362,prior,4,5,17,30.0,90.0,2015-02-06
412496,176420,prior,7,1,18,1.0,50.0,2015-04-28
1925239,189122,prior,15,0,20,3.0,79.0,2014-12-25
1461743,53633,prior,10,6,12,6.0,78.0,2014-09-20
1727294,67178,prior,1,0,20,,0.0,2015-01-09
596822,39486,prior,20,0,19,2.0,157.0,2015-02-20
1083491,39648,prior,32,6,11,9.0,234.0,2015-02-25
660164,58633,prior,19,1,11,15.0,207.0,2015-04-01
3133915,163644,prior,51,6,17,3.0,301.0,2015-05-12
1288404,48791,prior,5,1,12,6.0,74.0,2015-01-04
1671050,145918,prior,26,0,16,7.0,224.0,2015-06-17
890612,83514,prior,7,6,10,17.0,68.0,2015-06-16
640090,196340,prior,10,2,18,5.0,69.0,2014-09-15
2205816,11238,prior,3,1,14,6.0,30.0,2015-06-17
1411097,122921,prior,26,2,14,15.0,242.0,2015-04-14
3036419,82822,prior,7,2,19,13.0,101.0,2015-05-27
2249917,153182,prior,8,0,19,15.0,59.0,2015-02-28
1793987,151805,prior,18,4,10,4.0,101.0,2014-11-03
1901608,55321,prior,35,1,9,7.0,238.0,2015-04-05
2097901,61437,prior,17,3,12,1.0,102.0,2014-10-15
2646046,160463,prior,3,2,20,13.0,22.0,2014-08-27
2455090,152290,prior,6,2,7,30.0,117.0,2015-05-02
1589126,205895,prior,5,2,11,8.0,62.0,2014-10-01
2117923,108755,prior,1,4,14,,0.0,2014-12-05
221974,156716,prior,15,0,9,15.0,179.0,2015-01-17
846252,133623,prior,3,0,11,13.0,33.0,2015-04-04
3297979,66475,prior,5,0,12,25.0,67.0,2015-01-13
2073940,129660,prior,36,0,16,5.0,315.0,2015-05-13
2294656,151314,prior,20,0,12,4.0,171.0,2015-04-25
2043534,164875,prior,7,4,16,30.0,139.0,2015-03-01
101222,179038,prior,2,1,19,18.0,18.0,2014-12-26
2073658,80715,prior,24,0,20,6.0,140.0,2014-12-16
1015153,157857,prior,2,2,9,15.0,15.0,2015-02-27
2064499,104854,prior,2,5,13,7.0,7.0,2015-02-25
1477490,29792,test,7,0,15,29.0,123.0,2015-07-01
1607611,158546,prior,12,6,14,20.0,207.0,2015-06-01
1036405,192778,prior,45,5,11,3.0,286.0,2015-04-17
2133182,42434,prior,5,1,20,30.0,99.0,2015-02-02
3003268,91820,prior,55,5,9,2.0,138.0,2015-06-11
170591,124102,prior,2,2,10,30.0,30.0,2015-06-03
2156162,131304,prior,1,3,10,,0.0,2015-02-24
1818149,108521,prior,1,0,13,,0.0,2014-11-20
2227347,111019,prior,4,0,14,30.0,82.0,2015-05-02
1889255,163106,prior,5,4,17,6.0,27.0,2014-11-18
1067973,4756,prior,3,5,18,28.0,34.0,2014-10-04
836777,167928,prior,5,0,13,22.0,92.0,2015-06-18
1123533,203858,prior,26,6,16,6.0,175.0,2015-01-21
2075384,57941,prior,33,3,15,25.0,200.0,2015-02-12
3323298,42308,prior,3,4,10,17.0,38.0,2015-05-12
879947,52240,prior,4,4,11,22.0,59.0,2015-06-09
2847338,164009,prior,5,2,15,6.0,34.0,2014-12-24
3049866,127180,prior,8,3,18,8.0,51.0,2015-05-06
208468,164901,prior,13,5,7,5.0,137.0,2015-01-25
3270807,139455,prior,5,1,8,22.0,64.0,2015-02-10
1805109,143621,prior,21,1,9,7.0,176.0,2014-12-24
814061,187487,prior,3,0,15,0.0,16.0,2015-02-09
3236192,67962,prior,28,2,18,8.0,179.0,2015-06-01
1464659,158080,prior,17,5,14,2.0,257.0,2015-05-30
1226681,171616,prior,9,2,11,2.0,46.0,2015-01-01
126582,146006,prior,3,2,20,15.0,28.0,2015-04-09
2173912,131796,prior,27,6,10,14.0,232.0,2015-03-05
2809547,50204,train,39,6,18,19.0,364.0,2015-07-01
1360045,89877,prior,2,0,10,2.0,2.0,2014-11-10
2898330,141429,train,8,2,12,10.0,124.0,2015-07-01
544166,182062,prior,13,3,8,1.0,76.0,2015-01-04
61558,20874,prior,2,0,15,4.0,4.0,2015-04-17
458292,65584,prior,18,1,7,14.0,215.0,2015-04-29
929490,65538,prior,38,0,18,5.0,322.0,2015-06-10
1640576,3735,prior,2,3,13,9.0,9.0,2015-03-30
2147222,68823,prior,3,6,21,5.0,12.0,2015-06-22
2679066,24995,prior,3,0,7,5.0,29.0,2014-10-02
807183,9310,prior,1,1,15,,0.0,2014-12-04
2188148,127852,prior,31,1,11,5.0,211.0,2015-01-29
1577371,99300,prior,12,6,16,2.0,31.0,2014-10-18
2599566,196528,prior,11,3,11,30.0,143.0,2015-01-03
1340693,47304,prior,6,6,12,13.0,99.0,2015-05-08
1687584,54041,prior,18,4,14,8.0,91.0,2015-03-25
2713500,45368,prior,16,4,14,2.0,36.0,2015-01-24
2410101,179790,prior,30,3,17,5.0,297.0,2015-04-27
3114264,79857,prior,12,0,16,30.0,135.0,2015-05-02
1290210,203440,prior,43,3,12,3.0,287.0,2015-04-20
210969,36785,prior,32,0,7,5.0,331.0,2015-06-12
1284695,78543,prior,3,5,10,30.0,60.0,2015-05-17
347123,22379,prior,18,2,8,17.0,149.0,2014-12-09
304534,92454,prior,4,6,14,6.0,14.0,2015-06-09
689129,186174,prior,1,3,13,,0.0,2015-03-11
2761299,185665,prior,26,5,18,23.0,220.0,2015-03-13
3162398,73023,prior,5,2,18,30.0,81.0,2015-04-12
1963123,191391,prior,13,5,9,6.0,85.0,2014-09-29
2640789,109227,prior,2,5,15,7.0,7.0,2015-01-16
2649676,84703,prior,2,1,13,11.0,11.0,2015-03-25
1989664,174118,train,9,1,13,30.0,137.0,2015-07-01
3386523,82883,prior,5,4,16,19.0,61.0,2015-01-31
1054900,8498,prior,2,1,10,6.0,6.0,2015-05-13
3009500,65986,prior,5,5,16,5.0,36.0,2015-06-01
1110280,67544,test,9,6,17,17.0,68.0,2015-07-01
3242653,192824,prior,8,1,19,3.0,123.0,2015-05-20
2869109,163370,prior,13,5,12,30.0,201.0,2015-03-02
2195705,72115,prior,51,5,15,4.0,289.0,2015-04-20
421289,164799,prior,11,2,7,12.0,134.0,2014-11-30
1767288,178474,prior,5,3,13,30.0,120.0,2015-06-04
1412344,109260,prior,38,5,13,4.0,178.0,2014-12-29
1788296,10447,prior,26,3,19,20.0,289.0,2015-04-22
84785,72047,prior,1,1,16,,0.0,2015-04-03
652382,28927,prior,60,4,16,1.0,317.0,2015-06-24
2183860,192713,prior,6,5,8,8.0,37.0,2015-04-22
746810,26101,prior,32,0,14,2.0,274.0,2015-04-19
81253,3252,prior,7,4,11,2.0,29.0,2014-08-18
2222426,69163,prior,7,1,8,30.0,152.0,2015-04-13
493787,90788,prior,38,1,15,4.0,168.0,2014-12-18
744648,151615,prior,1,4,17,,0.0,2015-06-14
1260174,22428,prior,60,2,12,7.0,318.0,2015-05-22
35475,75947,prior,3,1,17,2.0,13.0,2014-10-28
1401309,206072,prior,5,6,12,22.0,109.0,2015-05-02
1661069,41217,prior,2,2,9,12.0,12.0,2015-01-09
3231889,140017,prior,4,5,11,16.0,66.0,2015-06-18
2296809,115715,prior,9,3,15,30.0,179.0,2015-05-11
2509588,57357,prior,7,2,8,5.0,125.0,2015-06-02
3159373,83635,prior,15,0,17,30.0,162.0,2015-03-21
3382764,45693,prior,30,0,16,4.0,199.0,2015-01-22
911158,206074,prior,1,5,13,,0.0,2015-04-29
2796075,75357,prior,14,6,11,7.0,162.0,2015-04-16
2607280,8537,prior,33,5,11,5.0,144.0,2014-11-24
1661664,156835,prior,22,1,8,3.0,107.0,2014-10-20
2194774,42821,prior,8,0,10,5.0,33.0,2015-06-15
283772,163587,prior,16,1,9,3.0,132.0,2015-06-09
2490435,154082,prior,5,0,15,10.0,75.0,2015-05-20
2590950,106623,prior,10,0,15,3.0,27.0,2015-03-16
1827477,169352,prior,9,1,16,1.0,57.0,2014-11-28
639604,145549,prior,19,2,13,10.0,160.0,2015-02-02
3060833,37308,prior,71,4,20,2.0,270.0,2015-03-29
1219232,57767,prior,30,1,4,4.0,185.0,2015-01-19
1120676,65284,prior,6,1,14,1.0,16.0,2015-01-16
1192894,120280,prior,27,5,18,7.0,182.0,2015-04-20
1270436,20072,prior,3,5,18,1.0,4.0,2015-03-16
2235911,25684,prior,1,0,13,,0.0,2015-01-20
2740523,74162,prior,17,0,15,10.0,114.0,2015-03-07
2619914,121575,prior,35,3,11,4.0,193.0,2015-01-31
945368,129878,prior,2,5,15,14.0,14.0,2015-02-01
2275775,153516,prior,92,6,18,7.0,355.0,2015-06-25
1881986,93881,prior,7,1,15,6.0,21.0,2014-07-22
1396468,146484,prior,6,5,12,30.0,54.0,2015-03-10
764296,128402,prior,5,2,17,6.0,77.0,2015-06-01
670050,53085,prior,6,0,9,6.0,35.0,2015-01-09
766248,79728,prior,11,1,14,7.0,54.0,2015-03-31
1420026,132860,prior,32,2,12,6.0,181.0,2014-12-30
1658686,8500,prior,13,5,8,6.0,81.0,2014-09-23
1664326,183439,prior,26,4,12,14.0,198.0,2015-04-26
1586341,166384,prior,22,2,17,3.0,192.0,2015-06-21
2898109,15983,prior,1,4,11,,0.0,2015-02-11
1999692,22418,prior,16,1,18,30.0,208.0,2015-04-05
2506102,20730,prior,42,0,19,6.0,154.0,2014-12-02
3413698,93519,prior,47,4,21,0.0,132.0,2015-05-23
2429909,95181,prior,8,3,18,9.0,55.0,2015-03-11
370781,154317,prior,9,1,13,29.0,85.0,2014-10-27
650651,164435,prior,7,5,10,10.0,112.0,2015-05-23
3290624,115840,prior,6,1,8,14.0,49.0,2015-03-22
1809339,164755,prior,33,4,21,7.0,251.0,2015-03-15
2106749,28112,prior,5,4,10,8.0,33.0,2014-08-07
1592021,120377,prior,93,6,15,6.0,339.0,2015-06-18
1851520,7713,prior,40,2,7,1.0,173.0,2015-01-21
1064200,174228,train,4,5,15,24.0,60.0,2015-07-01
1896455,551,prior,9,3,14,15.0,166.0,2015-05-20
304846,91950,train,35,2,9,7.0,291.0,2015-07-01
1477105,19964,prior,3,0,15,9.0,39.0,2015-01-14
1196345,105954,prior,1,3,19,,0.0,2015-05-30
2691282,158090,prior,8,2,10,15.0,91.0,2015-04-29
552575,200105,test,46,0,10,1.0,258.0,2015-07-01
2550592,86301,train,12,2,18,30.0,238.0,2015-07-01
2262479,143177,prior,69,6,16,6.0,163.0,2015-04-23
631347,111441,prior,2,5,11,9.0,9.0,2015-05-29
1221102,99668,train,12,0,12,21.0,155.0,2015-07-01
152966,193815,prior,34,3,11,10.0,298.0,2015-04-26
2596737,29176,prior,26,3,23,2.0,184.0,2015-01-02
2094274,150827,prior,3,1,20,0.0,4.0,2015-06-23
1577409,15820,prior,1,5,11,,0.0,2015-01-13
194063,140969,prior,42,4,19,1.0,166.0,2014-12-16
1448083,127286,test,39,5,10,16.0,361.0,2015-07-01
844382,185491,prior,37,5,13,6.0,243.0,2015-03-03
3226474,196322,prior,30,1,13,30.0,287.0,2015-06-07
3366398,161405,prior,6,5,19,14.0,50.0,2014-09-27
2992169,156420,prior,32,6,15,3.0,145.0,2014-11-25
3028535,181293,prior,18,1,10,5.0,99.0,2015-01-20
3072062,27353,prior,41,6,13,1.0,121.0,2015-02-24
1548019,76652,prior,15,5,9,11.0,124.0,2015-01-07
1925778,153273,prior,22,3,12,1.0,143.0,2015-04-12
1688837,149113,prior,12,0,19,1.0,63.0,2015-04-10
2005470,199190,prior,33,2,9,10.0,314.0,2015-05-13
2210526,27907,prior,87,2,10,2.0,312.0,2015-05-24
1214558,126802,test,7,5,12,7.0,96.0,2015-07-01
3321167,27655,prior,8,2,16,1.0,47.0,2015-03-04
3242869,8811,prior,6,1,16,3.0,64.0,2015-05-10
2766034,170070,prior,7,6,15,11.0,85.0,2014-10-24
2060834,14820,prior,4,3,8,5.0,19.0,2014-11-20
3042830,144241,prior,7,6,10,30.0,170.0,2015-05-23
697845,184124,prior,4,4,14,1.0,12.0,2015-03-24
2015209,10600,prior,65,4,12,4.0,190.0,2015-03-28
2739975,105792,prior,19,1,8,9.0,194.0,2015-04-04
706187,192694,prior,7,5,17,16.0,106.0,2015-01-15
2483337,157912,prior,4,4,7,13.0,59.0,2014-10-12
1957697,66377,prior,14,1,18,24.0,252.0,2015-05-27
865969,10548,prior,33,3,10,15.0,324.0,2015-06-21
2596788,86829,prior,6,0,22,7.0,39.0,2015-05-27
1765304,124971,prior,2,4,11,5.0,5.0,2015-05-26
2855440,141815,prior,7,3,12,11.0,89.0,2014-12-06
2159023,159291,prior,5,6,15,14.0,92.0,2015-05-28
1250858,95056,prior,5,1,9,6.0,28.0,2014-12-04
153467,141773,prior,3,4,14,24.0,38.0,2014-11-25
362846,137262,prior,20,0,13,6.0,118.0,2014-11-19
157195,55194,prior,12,3,11,2.0,48.0,2015-05-15
1677644,100012,prior,11,1,7,7.0,77.0,2015-01-03
1639609,113729,prior,1,6,12,,0.0,2015-02-25
1315105,75609,prior,37,4,17,5.0,157.0,2014-12-14
3008665,78735,prior,7,3,16,25.0,112.0,2015-01-27
2754597,180621,prior,47,6,9,4.0,162.0,2014-12-30
1762202,138506,prior,26,0,22,8.0,232.0,2015-05-26
3006390,123693,prior,1,0,15,,0.0,2015-03-07
1665956,88772,prior,29,5,15,0.0,264.0,2015-05-15
193077,15578,prior,16,0,14,7.0,171.0,2015-05-22
608190,162245,prior,11,3,20,4.0,157.0,2015-05-26
114695,42760,prior,11,6,12,10.0,181.0,2015-03-25
2890157,9578,prior,8,1,13,30.0,93.0,2014-11-22
