dataset,column,profile_type,dtype,rows_used,sampled_for_profile,non_null,missing_pct,n_unique,unique_ratio,top_1,top_1_pct,top_10_coverage_pct,mean,std,min,p01,p05,median,p95,p99,max
customer_cumulative_reorder,reordered,binary,int64,2000000,True,2000000,0.0,2,1e-06,1,58.877,100.0,0.588766,0.492058,0.0,0.0,0.0,1.0,1.0,1.0,1.0
customer_cumulative_reorder,cumulative_reorder_per_customer,continuous,int64,2000000,True,2000000,0.0,2383,0.001192,,,,134.318303,198.129554,0.0,0.0,0.0,56.0,533.0,917.0,3263.0
products_dim,product_id,continuous,int64,49688,False,49688,0.0,49688,1.0,,,,24844.5,14343.834425,1.0,497.87,2485.35,24844.5,47203.65,49191.13,49688.0
products_dim,product_name,other,str,49688,False,49688,0.0,49688,1.0,,,,,,,,,,,,
products_dim,aisle_id,continuous,int64,49688,False,49688,0.0,134,0.002697,,,,67.769582,38.316162,1.0,3.0,6.0,69.0,126.0,131.0,134.0
products_dim,department_id,continuous,int64,49688,False,49688,0.0,21,0.000423,,,,11.728687,5.85041,1.0,1.0,1.0,13.0,20.0,21.0,21.0
products_dim,aisle,other,str,49688,False,49688,0.0,134,0.002697,,,,,,,,,,,,
products_dim,department,other,str,49688,False,49688,0.0,21,0.000423,,,,,,,,,,,,
prior_enriched,order_id,continuous,int64,2000000,True,2000000,0.0,1358531,0.679265,,,,1712692.586495,987176.180294,2.0,34462.0,171727.0,1714216.0,3250835.05,3387323.01,3421083.0
prior_enriched,product_id,continuous,int64,2000000,True,2000000,0.0,40420,0.02021,,,,25564.82708,14101.559138,1.0,457.0,3376.0,25237.0,47570.0,49235.0,49688.0
prior_enriched,add_to_cart_order,continuous,int64,2000000,True,2000000,0.0,110,5.5e-05,,,,8.364532,7.147212,1.0,1.0,1.0,6.0,22.0,33.0,142.0
prior_enriched,reordered,binary,int64,2000000,True,2000000,0.0,2,1e-06,1,58.966,100.0,0.589659,0.491896,0.0,0.0,0.0,1.0,1.0,1.0,1.0
prior_enriched,user_id,continuous,int64,2000000,True,2000000,0.0,189946,0.094973,,,,102975.836816,59444.001704,1.0,2204.0,10506.0,102635.0,195721.0,204102.01,206209.0
prior_enriched,eval_set,constant,str,2000000,True,2000000,0.0,1,0.0,,,,,,,,,,,,
prior_enriched,order_number,continuous,int64,2000000,True,2000000,0.0,99,4.9e-05,,,,17.138831,17.51165,1.0,1.0,1.0,11.0,54.0,81.0,99.0
prior_enriched,order_dow,discrete,int64,2000000,True,2000000,0.0,7,3e-06,0,19.14,100.0,2.737325,2.089432,0.0,0.0,0.0,3.0,6.0,6.0,6.0
prior_enriched,order_hour_of_day,continuous,int64,2000000,True,2000000,0.0,24,1.2e-05,,,,13.427357,4.24799,0.0,1.0,7.0,13.0,21.0,23.0,23.0
prior_enriched,days_since_prior_order,continuous,float64,2000000,True,2000000,0.0,31,1.6e-05,,,,10.396586,8.923043,0.0,0.0,0.0,7.0,30.0,30.0,30.0
prior_enriched,product_name,other,str,2000000,True,2000000,0.0,40420,0.02021,,,,,,,,,,,,
prior_enriched,aisle_id,continuous,int64,2000000,True,2000000,0.0,134,6.7e-05,,,,71.192402,38.218285,1.0,3.0,16.0,83.0,123.0,130.0,134.0
prior_enriched,department_id,continuous,int64,2000000,True,2000000,0.0,21,1e-05,,,,9.924779,6.279736,1.0,1.0,1.0,9.0,19.0,20.0,21.0
prior_enriched,aisle,other,str,2000000,True,2000000,0.0,134,6.7e-05,,,,,,,,,,,,
prior_enriched,department,other,str,2000000,True,2000000,0.0,21,1e-05,,,,,,,,,,,,
train_enriched,order_id,continuous,int64,1384617,False,1384617,0.0,131209,0.094762,,,,1706297.62109,989732.648868,1.0,33564.0,170761.0,1701880.0,3249514.2,3388827.0,3421070.0
train_enriched,product_id,continuous,int64,1384617,False,1384617,0.0,39123,0.028255,,,,25556.235729,14121.272449,1.0,498.0,3397.0,25298.0,47601.0,49215.0,49688.0
train_enriched,add_to_cart_order,continuous,int64,1384617,False,1384617,0.0,80,5.8e-05,,,,8.758044,7.423936,1.0,1.0,1.0,7.0,23.0,34.0,80.0
train_enriched,reordered,binary,int64,1384617,False,1384617,0.0,2,1e-06,1,59.859,100.0,0.598594,0.490183,0.0,0.0,0.0,1.0,1.0,1.0,1.0
train_enriched,user_id,continuous,int64,1384617,False,1384617,0.0,131209,0.094762,,,,103112.781929,59487.147887,1.0,2098.0,10425.0,102933.0,195696.0,204129.0,206209.0
train_enriched,eval_set,constant,str,1384617,False,1384617,0.0,1,1e-06,,,,,,,,,,,,
train_enriched,order_number,continuous,int64,1384617,False,1384617,0.0,97,7e-05,,,,17.09141,16.614037,4.0,4.0,4.0,11.0,52.0,85.0,100.0
train_enriched,order_dow,discrete,int64,1384617,False,1384617,0.0,7,5e-06,0,23.402,100.0,2.701392,2.167646,0.0,0.0,0.0,3.0,6.0,6.0,6.0
train_enriched,order_hour_of_day,continuous,int64,1384617,False,1384617,0.0,24,1.7e-05,,,,13.577592,4.238458,0.0,1.0,7.0,14.0,21.0,23.0,23.0
train_enriched,days_since_prior_order,continuous,float64,1384617,False,1384617,0.0,31,2.2e-05,,,,17.066126,10.426418,0.0,0.0,3.0,15.0,30.0,30.0,30.0
train_enriched,product_name,other,str,1384617,False,1384617,0.0,39123,0.028255,,,,,,,,,,,,
train_enriched,aisle_id,continuous,int64,1384617,False,1384617,0.0,134,9.7e-05,,,,71.30423,38.104094,1.0,3.0,16.0,83.0,123.0,130.0,134.0
train_enriched,department_id,continuous,int64,1384617,False,1384617,0.0,21,1.5e-05,,,,9.839777,6.29283,1.0,1.0,1.0,8.0,19.0,20.0,21.0
train_enriched,aisle,other,str,1384617,False,1384617,0.0,134,9.7e-05,,,,,,,,,,,,
train_enriched,department,other,str,1384617,False,1384617,0.0,21,1.5e-05,,,,,,,,,,,,
